河北工程技术学院（民办）,http://www.hbfsh.com/
河北环境工程学院,http://www.emcc.cn/
河北东方学院（民办）,http://www.dfzy.edu.cn/
河北科技大学,http://www.hebust.edu.cn/
吉林大学,http://www.jlu.edu.cn/
东北师范大学,http://www.nenu.edu.cn/
吉林农业大学,http://www.jlau.edu.cn/
北华大学,http://www.beihua.edu.cn/
吉林师范大学,http://www.jlnu.edu.cn/
延边大学,http://www.ybu.edu.cn/
吉林财经大学,http://www.jlufe.edu.cn/
东北电力大学,http://www.nedu.edu.cn/
长春工程学院,http://www.ccit.edu.cn/
吉林化工学院,http://www.jlict.edu.cn/
长春师范大学,http://www.cncnc.edu.cn/
吉林工程技术师范学院,http://www.jltiet.net/
吉林建筑大学,http://www.jliae.edu.cn/
长春工业大学,http://www.ccut.edu.cn/
长春中医药大学,http://www.ccucm.edu.cn/
通化师范学院,http://www.thnu.edu.cn/
吉林华桥外国语学院（民办）,http://www.hqwy.com/
吉林医药学院,http://www.jlmu.cn/
白城师范学院,http://www.bcsfxy.com/
吉林艺术学院,http://www.jlart.edu.cn/
吉林农业科技学院,http://www.jlnku.com/
吉林工商学院,http://www.jlbtc.edu.cn/
长春理工大学,http://www.cust.edu.cn/
吉林动画学院（民办）,http://www.jldh.com.cn/
长春大学,http://www.ccu.edu.cn/
吉林警察学院,http://www.jljcxy.com/
吉林体育学院,http://www.jlsu.edu.cn/
长春建筑学院（民办）,http://www.jladi.com/
长春科技学院（民办）,http://www.jlaudev.com.cn/
长春光华学院（民办）,http://www.ccughc.net/
长春财经学院（民办）,http://www.ccufe.com/
内蒙古大学,http://www.imu.edu.cn/
内蒙古科技大学,http://www.imust.cn/
内蒙古民族大学,http://www.imun.edu.cn/
内蒙古工业大学,http://www.imut.edu.cn/
内蒙古农业大学,http://www.imau.edu.cn/
内蒙古师范大学,http://www.imnu.edu.cn/
内蒙古医科大学,http://www.immu.edu.cn/
赤峰学院,http://www.cfxy.cn/
呼和浩特民族学院,http://www.imnc.edu.cn/
集宁师范学院,http://www.jntc.nm.cn/
呼伦贝尔学院,http://www.hlbrc.cn/
内蒙古财经大学,http://www.imufe.edu.cn/
河套学院,http://www.hetaodaxue.com/
内蒙古艺术学院,http://www.imac.edu.cn/
鄂尔多斯应用技术学院,http://www.imuoc.cn/
山西大学,http://www.sxu.edu.cn/
太原理工大学,http://www.tyut.edu.cn/
中北大学,http://www.nuc.edu.cn/
太原科技大学,http://www.tyust.edu.cn/
山西农业大学,http://www.sxau.edu.cn/
山西医科大学,http://www.sxmu.edu.cn/
山西师范大学,http://www.sxnu.edu.cn/
山西大同大学,http://www.sxdtdx.edu.cn/
山西财经大学,http://www.sxufe.edu.cn/
太原工业学院,http://www.tit.edu.cn/
长治医学院,http://www.czmc.com/
山西中医学院,http://www.sxtcm.com/
太原师范学院,http://www.tynu.edu.cn/
长治学院,http://www.czc.edu.cn/
吕梁学院,http://www.llhc.edu.cn/
晋中学院,http://www.sxjztc.edu.cn/
忻州师范学院,http://www.xztc.edu.cn/
运城学院,http://www.ycu.edu.cn/ 
山西工商学院（民办）,http://baike.baidu.com/link?url=Uu3JasiKT7Lh63esXEIp7CoOd8arqHDwvSRFNMVYxLE-B3BFCEHkAHpQiunPhoP4nhNK5tjon9onR25-Rh119_
山西传媒学院,http://www.arft.net/
太原学院,http://baike.baidu.com/link?url=Jx5-TwF4ChNP_UDZuWTQ1vCsowJDrMnDPKo_vuojVXSM0B8MxVeR8ag1rYgq6_Yjv5j1tpc63yxX0ealTee2ka
山西警察学院,http://baike.baidu.com/link?url=oBi2CkXCgbuJLcyc9i-xvynSy2W1PSukeMXwIIt_XCoGUK2R46vFz1LDBWJEgf_rJfsaikxHnJ4rdLxmE3wG42nDlhibL2c9tYVlyCqvf-uInJF3E8SIV5sJ0nOuTx_F-N_vyK2-zdHPTdyGVW3FXK
山西应用科技学院（民办）,http://www.sxxh.org/
山西工程技术学院,http://www.sxit.edu.cn/
山西能源学院,http://www.sxmtxy.net/
大连理工大学,http://www.dlut.edu.cn/
东北大学,http://www.neu.edu.cn/
大连海事大学,http://www.dlmu.edu.cn/
中国刑事警察学院,http://www.npuc.edu.cn/
辽宁大学,http://www.lnu.edu.cn/
沈阳大学,http://www.syu.edu.cn/
大连大学,http://www.dlu.edu.cn/
沈阳理工大学,http://www.sylu.edu.cn/sylusite/
辽宁工程技术大学,http://www.lntu.edu.cn/
沈阳工业大学,http://www.sut.edu.cn/
沈阳建筑大学,http://www.sjzu.edu.cn/
辽宁石油化工大学,http://www.lnpu.edu.cn/
大连交通大学,http://www.djtu.edu.cn/
沈阳化工大学,http://www.syuct.edu.cn/
辽宁科技大学,http://www.ustl.edu.cn/
大连工业大学,http://www.dlpu.edu.cn/
辽宁工业大学,http://www.lnit.edu.cn/
沈阳航空航天大学,http://www.sau.edu.cn/
沈阳农业大学,http://www.syau.edu.cn/
大连海洋大学,http://www.dlou.edu.cn/
中国医科大学,http://www.cmu.edu.cn/
